pop,scenario,date,covid_region,persons_above65_first_vaccinated_perc
121574,continued_trend,2021-05-25,1,0.970975446828638
121574,continued_trend,2021-05-26,1,0.980196677065884
121574,continued_trend,2021-05-27,1,0.98941790730313
121574,continued_trend,2021-05-28,1,0.998639137540408
121574,continued_trend,2021-05-29,1,1
219816,continued_trend,2021-01-10,2,0.00999694576768067
219816,continued_trend,2021-01-11,2,0.0171266740416147
219816,continued_trend,2021-01-12,2,0.0242564023155657
219816,continued_trend,2021-01-13,2,0.0313861305895167
219816,continued_trend,2021-01-14,2,0.0385158588634677
219816,continued_trend,2021-01-15,2,0.0456455871374188
219816,continued_trend,2021-01-16,2,0.0527753154113528
219816,continued_trend,2021-01-17,2,0.0599050436853038
219816,continued_trend,2021-01-18,2,0.0670347719592548
219816,continued_trend,2021-01-19,2,0.0741645002332058
219816,continued_trend,2021-01-20,2,0.0812942285071568
219816,continued_trend,2021-01-21,2,0.0884239567810909
219816,continued_trend,2021-01-22,2,0.0955536850550419
219816,continued_trend,2021-01-23,2,0.102683413328993
219816,continued_trend,2021-01-24,2,0.109813141602944
219816,continued_trend,2021-01-25,2,0.116942869876895
219816,continued_trend,2021-01-26,2,0.124072598150829
219816,continued_trend,2021-01-27,2,0.13120232642478
219816,continued_trend,2021-01-28,2,0.138332054698731
219816,continued_trend,2021-01-29,2,0.145461782972682
219816,continued_trend,2021-01-30,2,0.152591511246633
219816,continued_trend,2021-01-31,2,0.159721239520567
219816,continued_trend,2021-02-01,2,0.166850967794518
219816,continued_trend,2021-02-02,2,0.173980696068469
219816,continued_trend,2021-02-03,2,0.18111042434242
219816,continued_trend,2021-02-04,2,0.188240152616371
219816,continued_trend,2021-02-05,2,0.195369880890305
219816,continued_trend,2021-02-06,2,0.202499609164256
219816,continued_trend,2021-02-07,2,0.209629337438207
219816,continued_trend,2021-02-08,2,0.216759065712158
219816,continued_trend,2021-02-09,2,0.223888793986109
219816,continued_trend,2021-02-10,2,0.231018522260043
219816,continued_trend,2021-02-11,2,0.238148250533994
219816,continued_trend,2021-02-12,2,0.245277978807945
219816,continued_trend,2021-02-13,2,0.252407707081896
219816,continued_trend,2021-02-14,2,0.259537435355847
219816,continued_trend,2021-02-15,2,0.266667163629798
219816,continued_trend,2021-02-16,2,0.273796891903732
219816,continued_trend,2021-02-17,2,0.280926620177683
219816,continued_trend,2021-02-18,2,0.288056348451634
219816,continued_trend,2021-02-19,2,0.295186076725585
219816,continued_trend,2021-02-20,2,0.302315804999536
219816,continued_trend,2021-02-21,2,0.30944553327347
219816,continued_trend,2021-02-22,2,0.316575261547421
219816,continued_trend,2021-02-23,2,0.323704989821372
219816,continued_trend,2021-02-24,2,0.330834718095323
