date,persons_above65_first_vaccinated_perc
2021-01-10,0.0920707070177719
2021-01-11,0.0939717376114601
2021-01-12,0.0958727682051509
2021-01-13,0.0977737987988401
2021-01-14,0.0996748293925307
2021-01-15,0.101575859986221
2021-01-16,0.103836700141636
2021-01-17,0.106341224790336
2021-01-18,0.108845749439034
2021-01-19,0.111350274087734
2021-01-20,0.113854798736435
2021-01-21,0.117347957925214
2021-01-22,0.120995859094925
2021-01-23,0.124643760264635
2021-01-24,0.128291661434344
2021-01-25,0.132187742296347
2021-01-26,0.136551249515785
2021-01-27,0.140914756735228
2021-01-28,0.145491520784479
2021-01-29,0.150536851394127
2021-01-30,0.155582182003776
2021-01-31,0.160627512613426
2021-02-01,0.165672843223077
2021-02-02,0.170718173832726
2021-02-03,0.176380551920148
2021-02-04,0.182122575779819
2021-02-05,0.187864599639488
2021-02-06,0.193606623499158
2021-02-07,0.199348647358829
2021-02-08,0.205090671218498
2021-02-09,0.210832695078169
2021-02-10,0.216574718937838
2021-02-11,0.222316742797509
2021-02-12,0.228058766657177
2021-02-13,0.233800790516845
2021-02-14,0.239542814376517
2021-02-15,0.245284838236188
2021-02-16,0.251026862095856
2021-02-17,0.256768885955526
2021-02-18,0.262510909815197
2021-02-19,0.268252933674866
2021-02-20,0.273994957534535
2021-02-21,0.279736981394203
2021-02-22,0.285479005253874
2021-02-23,0.291221029113544
2021-02-24,0.296963052973215
2021-02-25,0.302705076832884
2021-02-26,0.308447100692553
2021-02-27,0.314189124552226
2021-02-28,0.319931148411896
2021-03-01,0.325673172271561
2021-03-02,0.331415196131233
2021-03-03,0.337157219990903
2021-03-04,0.342899243850575
2021-03-05,0.348641267710244
2021-03-06,0.354383291569913
2021-03-07,0.360125315429582
2021-03-08,0.365867339289252
2021-03-09,0.371609363148922
2021-03-10,0.377351387008591
2021-03-11,0.383093410868262
2021-03-12,0.388835434727931
2021-03-13,0.394577458587605
2021-03-14,0.400319482447272
2021-03-15,0.406061506306941
2021-03-16,0.41180353016661
2021-03-17,0.417545554026282
2021-03-18,0.423287577885949
2021-03-19,0.42902960174562
2021-03-20,0.434771625605289
2021-03-21,0.440513649464961
2021-03-22,0.446255673324632
2021-03-23,0.4519976971843
2021-03-24,0.45773972104397
2021-03-25,0.463481744903638
2021-03-26,0.46922376876331
2021-03-27,0.47496579262298
2021-03-28,0.48070781648265
2021-03-29,0.486449840342316
2021-03-30,0.492191864201991
2021-03-31,0.497933888061659
2021-04-01,0.503675911921327
2021-04-02,0.509417935780997
2021-04-03,0.515159959640665
2021-04-04,0.520901983500336
2021-04-05,0.526644007360007
2021-04-06,0.532386031219674
2021-04-07,0.538128055079348
2021-04-08,0.543870078939019
2021-04-09,0.549612102798686
2021-04-10,0.555354126658357
2021-04-11,0.561096150518023
2021-04-12,0.566838174377696
2021-04-13,0.572580198237367
2021-04-14,0.578322222097033
2021-04-15,0.584064245956706
2021-04-16,0.589806269816374
2021-04-17,0.595548293676046
2021-04-18,0.601290317535715
2021-04-19,0.607032341395382
2021-04-20,0.612774365255053
2021-04-21,0.618516389114724
2021-04-22,0.624258412974393
2021-04-23,0.630000436834065
2021-04-24,0.635742460693734
2021-04-25,0.641484484553406
2021-04-26,0.647226508413074
2021-04-27,0.652968532272743
2021-04-28,0.658710556132413
2021-04-29,0.664452579992081
2021-04-30,0.670194603851752
2021-05-01,0.675936627711424
2021-05-02,0.681678651571091
2021-05-03,0.687420675430764
2021-05-04,0.693162699290433
2021-05-05,0.698904723150101
2021-05-06,0.704646747009771
2021-05-07,0.71038877086944
2021-05-08,0.716130794729111
2021-05-09,0.721872818588785
2021-05-10,0.727614842448454
2021-05-11,0.733356866308122
2021-05-12,0.739098890167788
2021-05-13,0.74484091402746
2021-05-14,0.750582937887132
2021-05-15,0.756324961746798
2021-05-16,0.76206698560647
2021-05-17,0.767809009466141
2021-05-18,0.773551033325811
2021-05-19,0.779293057185481
2021-05-20,0.785035081045148
2021-05-21,0.790777104904817
2021-05-22,0.796519128764489
2021-05-23,0.802261152624158
2021-05-24,0.808003176483829
2021-05-25,0.813745200343496
2021-05-26,0.819487224203169
2021-05-27,0.825229248062839
2021-05-28,0.830971271922505
2021-05-29,0.836713295782177
2021-05-30,0.842455319641847
2021-05-31,0.848197343501518
2021-06-01,0.853718310261992
2021-06-02,0.858744728071926
2021-06-03,0.863771145881864
2021-06-04,0.868797563691805
2021-06-05,0.873823981501739
2021-06-06,0.878850399311677
2021-06-07,0.883876817121614
2021-06-08,0.888903234931551
2021-06-09,0.893929652741492
2021-06-10,0.898956070551428
2021-06-11,0.903313988152844
2021-06-12,0.907658582572575
2021-06-13,0.911725097920955
2021-06-14,0.915372999090664
2021-06-15,0.919020900260375
2021-06-16,0.922090480470976
2021-06-17,0.925134887585677
2021-06-18,0.928179294700376
2021-06-19,0.931223701815075
2021-06-20,0.934268108929776
2021-06-21,0.937312516044477
2021-06-22,0.940356923159178
2021-06-23,0.943401330273876
2021-06-24,0.946445737388574
2021-06-25,0.949248249097852
2021-06-26,0.951707886752977
2021-06-27,0.953916712664887
2021-06-28,0.955928044569787
2021-06-29,0.957939376474687
2021-06-30,0.959950708379586
2021-07-01,0.961962040284485
2021-07-02,0.963911204686312
2021-07-03,0.965363929529778
2021-07-04,0.966789531967749
2021-07-05,0.967803055925755
2021-07-06,0.968816579883762
2021-07-07,0.969830103841768
2021-07-08,0.970843627799774
2021-07-09,0.97185715175778
2021-07-10,0.972870675715785
2021-07-11,0.973884199673791
2021-07-12,0.974897723631797
2021-07-13,0.975911247589802
