date,persons_first_vaccinated,model,covid_region,scenario,pop,persons_first_vaccinated_raw,persons_first_vaccinated_perc,remaining_susceptible,daily_first_vacc,daily_first_vacc_perc
2020-12-20,0,predicted,1,continued_trend,660965,0,0,660965,0,0
2020-12-21,0,predicted,1,continued_trend,660965,0,0,660965,0,0
2020-12-22,0,predicted,1,continued_trend,660965,0,0,660965,0,0
2020-12-23,0,predicted,1,continued_trend,660965,0,0,660965,0,0
2020-12-24,0,predicted,1,continued_trend,660965,0,0,660965,0,0
2020-12-25,0,predicted,1,continued_trend,660965,0,0,660965,0,0
2020-12-26,0,predicted,1,continued_trend,660965,0,0,660965,0,0
2020-12-27,0,predicted,1,continued_trend,660965,0,0,660965,0,0
2020-12-28,0,predicted,1,continued_trend,660965,0,0,660965,0,0
2020-12-29,0,predicted,1,continued_trend,660965,0,0,660965,0,0
2020-12-30,0,predicted,1,continued_trend,660965,0,0,660965,0,0
2020-12-31,0,predicted,1,continued_trend,660965,0,0,660965,0,0
2021-01-01,0,predicted,1,continued_trend,660965,0,0,660965,0,0
2021-01-02,0,predicted,1,continued_trend,660965,0,0,660965,0,0
2021-01-03,0,predicted,1,continued_trend,660965,0,0,660965,0,0
2021-01-04,0,predicted,1,continued_trend,660965,0,0,660965,0,0
2021-01-05,0,predicted,1,continued_trend,660965,0,0,660965,0,0
2021-01-06,0,predicted,1,continued_trend,660965,0,0,660965,0,0
2021-01-07,0,predicted,1,continued_trend,660965,0,0,660965,0,0
2021-01-08,0,predicted,1,continued_trend,660965,0,0,660965,0,0
2021-01-09,1665.32123923674,predicted,1,continued_trend,660965,1665.32123923674,0.00251953014038072,659299.678760763,1665.32123923674,0.00252589420696659
2021-01-10,3340.67200734466,predicted,1,continued_trend,660965,3340.67200734466,0.00505423435029792,657624.327992655,1675.35076810792,0.00254758027766672
2021-01-11,5016.02277545258,predicted,1,continued_trend,660965,5016.02277545258,0.00758893856021512,655948.977224548,1675.35076810792,0.00255408701938475
2021-01-12,6691.37354356051,predicted,1,continued_trend,660965,6691.37354356051,0.0101236427701323,654273.62645644,1675.35076810792,0.00256062708378092
2021-01-13,8366.72431166843,predicted,1,continued_trend,660965,8366.72431166843,0.0126583469800495,652598.275688332,1675.35076810792,0.00256720072749324
2021-01-14,10042.0750797726,predicted,1,continued_trend,660965,10042.0750797726,0.0151930511899611,650922.924920227,1675.3507681042,0.00257380820979614
2021-01-15,11717.4258478805,predicted,1,continued_trend,660965,11717.4258478805,0.0177277553998783,649247.57415212,1675.35076810792,0.0025804497926632
2021-01-16,13392.7766159885,predicted,1,continued_trend,660965,13392.7766159885,0.0202624596097955,647572.223384012,1675.35076810792,0.0025871257407445
2021-01-17,15068.1273840964,predicted,1,continued_trend,660965,15068.1273840964,0.0227971638197127,645896.872615904,1675.35076810792,0.00259383632145902
2021-01-18,16743.4781522043,predicted,1,continued_trend,660965,16743.4781522043,0.0253318680296299,644221.521847796,1675.35076810792,0.00260058180500176
2021-01-19,18418.8289203122,predicted,1,continued_trend,660965,18418.8289203122,0.0278665722395471,642546.171079688,1675.35076810792,0.00260736246438569
2021-01-20,20094.1796884201,predicted,1,continued_trend,660965,20094.1796884201,0.0304012764494643,640870.82031158,1675.35076810792,0.00261417857547859
2021-01-21,21769.5304565281,predicted,1,continued_trend,660965,21769.5304565281,0.0329359806593815,639195.469543472,1675.35076810792,0.00262103041704049
2021-01-22,23444.8812246323,predicted,1,continued_trend,660965,23444.8812246323,0.035470684869293,637520.118775368,1675.3507681042,0.0026279182707558
2021-01-23,25120.2319927402,predicted,1,continued_trend,660965,25120.2319927402,0.0380053890792102,635844.76800726,1675.35076810792,0.00263484242130116
2021-01-24,26795.5827608481,predicted,1,continued_trend,660965,26795.5827608481,0.0405400932891274,634169.417239152,1675.35076810792,0.00264180315632617
2021-01-25,28470.933528956,predicted,1,continued_trend,660965,28470.933528956,0.0430747974990446,632494.066471044,1675.35076810792,0.00264880076655173
2021-01-26,30146.284297064,predicted,1,continued_trend,660965,30146.284297064,0.0456095017089618,630818.715702936,1675.35076810792,0.00265583554578123
2021-01-27,31821.6350651719,predicted,1,continued_trend,660965,31821.6350651719,0.048144205918879,629143.364934828,1675.35076810792,0.00266290779094757
2021-01-28,33496.9858332798,predicted,1,continued_trend,660965,33496.9858332798,0.0506789101287962,627468.01416672,1675.35076810792,0.00267001780215489
2021-01-29,35172.3366013877,predicted,1,continued_trend,660965,35172.3366013877,0.0532136143387134,625792.663398612,1675.35076810792,0.00267716588272108
2021-01-30,36847.6873694919,predicted,1,continued_trend,660965,36847.6873694919,0.055748318548625,624117.312630508,1675.3507681042,0.00268435233921486
2021-01-31,38523.0381375998,predicted,1,continued_trend,660965,38523.0381375998,0.0582830227585422,622441.9618624,1675.35076810792,0.00269157748152957
2021-02-01,40198.3889057077,predicted,1,continued_trend,660965,40198.3889057077,0.0608177269684594,620766.611094292,1675.35076810792,0.00269884162286789
2021-02-02,41873.7396738157,predicted,1,continued_trend,660965,41873.7396738157,0.0633524311783766,619091.260326184,1675.35076810792,0.0027061450798469
2021-02-03,43549.0904419236,predicted,1,continued_trend,660965,43549.0904419236,0.0658871353882938,617415.909558077,1675.35076810792,0.00271348817251417
2021-02-04,45224.4412100315,predicted,1,continued_trend,660965,45224.4412100315,0.068421839598211,615740.558789969,1675.35076810792,0.00272087122440052
2021-02-05,46899.7919781394,predicted,1,continued_trend,660965,46899.7919781394,0.0709565438081282,614065.208021861,1675.35076810792,0.0027282945625675
2021-02-06,48575.1427462474,predicted,1,continued_trend,660965,48575.1427462474,0.0734912480180454,612389.857253753,1675.35076810792,0.00273575851765571
2021-02-07,50250.4935143553,predicted,1,continued_trend,660965,50250.4935143553,0.0760259522279626,610714.506485645,1675.35076810792,0.00274326342393392
