date,persons_first_vaccinated,model,covid_region,scenario,pop,persons_first_vaccinated_raw,persons_first_vaccinated_perc,remaining_susceptible,daily_first_vacc,daily_first_vacc_perc,date_ceiling,persons_first_vaccinated_perc_ceiling
2021-06-02,274156.876611136,predicted,6,continued_trend,739098,274156.876611136,0.370934404654235,464941.123388864,2046.67146474868,0.00440200137563848,2021-10-10,0.730923594743877
2021-06-03,276203.548075877,predicted,6,continued_trend,739098,276203.548075877,0.373703552270304,462894.451924123,2046.67146474123,0.00442146466917845,2021-10-10,0.730923594743877
2021-06-04,278250.219540626,predicted,6,continued_trend,739098,278250.219540626,0.376472699886383,460847.780459374,2046.67146474868,0.00444110083964938,2021-10-10,0.730923594743877
2021-06-05,280296.891005367,predicted,6,continued_trend,739098,280296.891005367,0.379241847502452,458801.108994633,2046.67146474123,0.00446091220055262,2021-10-10,0.730923594743877
2021-06-06,282343.562470116,predicted,6,continued_trend,739098,282343.562470116,0.382010995118531,456754.437529884,2046.67146474868,0.00448090110698656,2021-10-10,0.730923594743877
2021-06-07,284390.233934857,predicted,6,continued_trend,739098,284390.233934857,0.384780142734599,454707.766065143,2046.67146474123,0.00450106995632007,2021-10-10,0.730923594743877
2021-06-08,286436.905399606,predicted,6,continued_trend,739098,286436.905399606,0.387549290350678,452661.094600394,2046.67146474868,0.00452142118941206,2021-10-10,0.730923594743877
2021-06-09,288483.576864347,predicted,6,continued_trend,739098,288483.576864347,0.390318437966747,450614.423135653,2046.67146474123,0.00454195729133397,2021-10-10,0.730923594743877
2021-06-10,290530.248329096,predicted,6,continued_trend,739098,290530.248329096,0.393087585582826,448567.751670905,2046.67146474868,0.00456268079264476,2021-10-10,0.730923594743877
2021-06-11,292576.919793837,predicted,6,continued_trend,739098,292576.919793837,0.395856733198895,446521.080206163,2046.67146474123,0.00458359427016584,2021-10-10,0.730923594743877
2021-06-12,294623.591258585,predicted,6,continued_trend,739098,294623.591258585,0.398625880814974,444474.408741415,2046.67146474868,0.00460470034831497,2021-10-10,0.730923594743877
2021-06-13,296670.262723327,predicted,6,continued_trend,739098,296670.262723327,0.401395028431043,442427.737276673,2046.67146474123,0.00462600169993713,2021-10-10,0.730923594743877
2021-06-14,298716.934188075,predicted,6,continued_trend,739098,298716.934188075,0.404164176047121,440381.065811925,2046.67146474868,0.00464750104770118,2021-10-10,0.730923594743877
2021-06-15,300763.605652817,predicted,6,continued_trend,739098,300763.605652817,0.40693332366319,438334.394347183,2046.67146474123,0.0046692011649904,2021-10-10,0.730923594743877
2021-06-16,302810.277117565,predicted,6,continued_trend,739098,302810.277117565,0.409702471279269,436287.722882435,2046.67146474868,0.00469110487736597,2021-10-10,0.730923594743877
