covid_region,pop,scenario,date,persons_first_vaccinated,model,persons_first_vaccinated_raw,persons_first_vaccinated_perc,remaining_susceptible,daily_first_vacc,daily_first_vacc_perc,date_ceiling,persons_first_vaccinated_perc_ceiling
1,660965,continued_trend,2021-01-21,0,predicted,0,0,660965,0,0,2021-09-22,0.731861125958904
1,660965,continued_trend,2021-01-22,0,predicted,0,0,660965,0,0,2021-09-22,0.731861125958904
1,660965,continued_trend,2021-01-24,0,predicted,0,0,660965,0,0,2021-09-22,0.731861125958904
1,660965,continued_trend,2021-01-25,0,predicted,0,0,660965,0,0,2021-09-22,0.731861125958904
1,660965,continued_trend,2021-01-26,0,predicted,0,0,660965,0,0,2021-09-22,0.731861125958904
1,660965,continued_trend,2021-01-29,0,predicted,0,0,660965,0,0,2021-09-22,0.731861125958904
1,660965,continued_trend,2021-01-30,0,predicted,0,0,660965,0,0,2021-09-22,0.731861125958904
1,660965,continued_trend,2021-01-20,0,predicted,0,0,660965,0,0,2021-09-22,0.731861125958904
1,660965,continued_trend,2021-01-23,0,predicted,0,0,660965,0,0,2021-09-22,0.731861125958904
1,660965,continued_trend,2021-01-19,0,predicted,0,0,660965,0,0,2021-09-22,0.731861125958904
1,660965,continued_trend,2021-01-27,0,predicted,0,0,660965,0,0,2021-09-22,0.731861125958904
1,660965,continued_trend,2021-01-28,0,predicted,0,0,660965,0,0,2021-09-22,0.731861125958904
1,660965,continued_trend,2021-01-31,0,predicted,0,0,660965,0,0,2021-09-22,0.731861125958904
1,660965,continued_trend,2021-02-01,0,predicted,0,0,660965,0,0,2021-09-22,0.731861125958904
1,660965,continued_trend,2021-03-18,90084.7074828371,predicted,90084.7074828371,0.136292704580178,570880.292517163,2093.88234913349,0.00366781333421234,2021-09-22,0.731861125958904
1,660965,continued_trend,2021-03-19,92178.5898319706,predicted,92178.5898319706,0.139460621715175,568786.410168029,2093.88234913349,0.00368131571307219,2021-09-22,0.731861125958904
1,660965,continued_trend,2021-03-20,94272.4721810967,predicted,94272.4721810967,0.142628538850161,566692.527818903,2093.88234912604,0.00369491787228078,2021-09-22,0.731861125958904
1,660965,continued_trend,2021-03-21,96366.3545302302,predicted,96366.3545302302,0.145796455985158,564598.64546977,2093.88234913349,0.00370862092202027,2021-09-22,0.731861125958904
1,660965,continued_trend,2021-03-22,98460.2368793562,predicted,98460.2368793562,0.148964373120144,562504.763120644,2093.88234912604,0.00372242598891017,2021-09-22,0.731861125958904
1,660965,continued_trend,2021-03-23,100554.11922849,predicted,100554.11922849,0.152132290255142,560410.88077151,2093.88234913349,0.00373633421651427,2021-09-22,0.731861125958904
