FrameworkVersion,"1.0.176.23","clorton (CMS/Main/framework)"
exposed{2},0,3,3,7,8,10,15,20,24,28,36,50,75,93,107,134,161,220,280,369,483,640,840,1069,1376,1798,2332,2976,3841,4943,6444,8176,10331,13240,16930,21211,26646,33185,40876,49657,59330,69546,79907,89695,98590,105528,110251,111950,111044,107192,101410,94289,86248,77978,69618,61303,53806,47004,40991,35531
exposed{3},0,0,6,12,16,26,30,46,68,78,106,137,155,205,300,385,479,627,792,1058,1413,1780,2343,3083,3963,5123,6585,8534,10861,13736,17383,22046,27657,34204,41865,50655,60501,71037,81168,90968,99538,106090,110413,111640,110014,105974,100052,92947,84993,76618,68280,60431,53260,46422,40266,34983,30132,25971,22310,19232
exposed{4},0,3,3,5,6,9,8,12,14,16,21,26,41,57,71,94,117,171,220,245,301,374,481,625,815,1064,1416,1793,2336,3028,3877,4859,6318,8046,10418,13394,17113,21450,26889,33177,40720,49360,58640,68966,79331,89388,98082,105219,109575,111436,110310,106930,101530,94664,86513,78246,69944,62010,54622,47653
exposed{5},0,3,3,10,13,18,32,33,32,49,57,72,92,110,153,189,245,310,404,511,648,840,1095,1420,1817,2344,2983,3805,4826,6123,7808,10133,12879,16398,20590,25978,32151,39592,47949,57294,67794,77996,88072,96912,104438,109463,111946,111332,108170,102932,95838,87806,79391,70839,62682,55228,48228,41928,36258,31200
exposed{6},0,3,7,13,17,23,42,54,70,92,126,155,199,266,365,485,646,817,1073,1375,1736,2301,2867,3675,4729,6053,7770,10012,12811,16275,20575,25803,31867,39166,47439,56807,66747,77642,87996,96918,104503,109708,111673,111090,107684,102087,95513,87564,79157,70903,62890,55289,48254,41836,36165,31244,26847,23144,19845,16961
exposed{7},0,6,11,11,10,18,21,29,33,44,54,70,79,105,139,180,224,293,373,473,606,785,999,1305,1661,2118,2780,3585,4541,5727,7340,9335,11947,15262,19311,24388,30255,37325,45632,54796,64830,75433,86050,95662,103485,108931,111647,111362,108679,103847,97157,89381,81072,72573,64465,56812,49786,43294,37423,32254
exposed{8},0,0,3,4,11,13,15,17,20,27,25,35,40,45,45,49,56,64,76,90,117,148,201,270,369,469,610,770,984,1240,1599,2022,2585,3282,4304,5497,6982,8928,11332,14269,18193,22981,28657,35414,43438,52301,62299,73036,83240,93358,101725,107836,111407,111941,109973,105334,99213,91809,83543,75046
exposed{9},0,3,7,9,13,15,23,30,43,55,65,93,120,153,190,249,323,417,520,654,834,1071,1380,1780,2323,3016,3911,5045,6494,8266,10547,13554,17139,21496,26766,33052,40783,49780,59445,70006,80718,90615,99137,106314,110762,112531,111027,107042,101045,93957,85819,77618,69546,61382,53965,47040,40845,35179,30363,26099
detected{0},0,0,0,1,1,3,3,4,4,6,7,8,13,18,27,26,36,46,58,79,111,148,190,246,327,413,524,660,834,1060,1342,1705,2235,2814,3598,4517,5710,7016,8708,10581,12647,14998,17371,19784,22320,24517,26377,28018,29371,30404,30936,30936,30542,29795,29130,28042,26743,25462,24070,22525
detected{1},0,0,0,0,0,0,0,0,0,0,2,3,4,6,8,9,9,9,13,16,24,32,38,46,61,82,88,133,165,207,245,319,415,516,645,845,1113,1472,1881,2387,3049,3911,4988,6241,7745,9384,11274,13377,15663,18120,20727,23085,25412,27216,28763,29979,30689,30980,30936,30548
