,sample_num,scen_num,Ki
0,0,1,3.711541130147791e-06
1,1,2,3.711541130147791e-06
2,2,3,3.711541130147791e-06
3,3,4,3.711541130147791e-06
4,4,5,3.711541130147791e-06
5,5,6,3.711541130147791e-06
6,6,7,3.711541130147791e-06
7,7,8,3.711541130147791e-06
8,8,9,3.711541130147791e-06
9,9,10,3.711541130147791e-06
