FrameworkVersion,"1.0.176.23","clorton (CMS/Main/framework)"
sampletimes,0,1.01694915254237,2.03389830508475,3.05084745762712,4.06779661016949,5.08474576271186,6.10169491525424,7.11864406779661,8.13559322033898,9.15254237288136,10.1694915254237,11.1864406779661,12.2033898305085,13.2203389830508,14.2372881355932,15.2542372881356,16.271186440678,17.2881355932203,18.3050847457627,19.3220338983051,20.3389830508475,21.3559322033898,22.3728813559322,23.3898305084746,24.4067796610169,25.4237288135593,26.4406779661017,27.4576271186441,28.4745762711864,29.4915254237288,30.5084745762712,31.5254237288136,32.5423728813559,33.5593220338983,34.5762711864407,35.5932203389831,36.6101694915254,37.6271186440678,38.6440677966102,39.6610169491525,40.6779661016949,41.6949152542373,42.7118644067797,43.728813559322,44.7457627118644,45.7627118644068,46.7796610169492,47.7966101694915,48.8135593220339,49.8305084745763,50.8474576271186,51.864406779661,52.8813559322034,53.8983050847458,54.9152542372881,55.9322033898305,56.9491525423729,57.9661016949153,58.9830508474576,60
susceptible{0},360980,360972,360962,360950,360941,360919,360891,360862,360816,360776,360702,360617,360477,360286,360036,359652,359207,358551,357693,356507,354970,352838,350028,346236,341418,334884,326418,315117,301128,283478,262224,237943,210610,181157,151076,121993,95723,73163,54719,40473,29542,21561,15749,11534,8582,6453,5012,3989,3146,2552,2044,1735,1470,1283,1120,985,884,795,735,678
susceptible{1},360980,360976,360971,360965,360958,360948,360933,360912,360878,360834,360781,360707,360579,360417,360192,359893,359501,358983,358294,357339,356092,354503,352273,349296,345347,340236,333162,324047,312212,297543,279627,257937,232849,204688,175125,145229,116416,91018,69285,51688,37925,27629,20133,14713,10944,8150,6195,4767,3765,3021,2458,2015,1682,1439,1225,1076,948,852,772,707
susceptible{2},360980,360972,360969,360966,360961,360943,360919,360895,360854,360803,360738,360666,360574,360438,360273,360035,359684,359208,358560,357714,356547,354993,352892,350124,346428,341502,334839,326302,315296,301323,283957,262740,238045,210497,180823,150774,121636,95461,72963,54670,40536,29437,21394,15679,11669,8792,6664,5156,4034,3213,2597,2181,1863,1577,1335,1152,989,879,790,721
susceptible{3},360980,360976,360968,360959,360947,360940,360919,360889,360858,360825,360779,360673,360574,360414,360227,359921,359531,359012,358320,357284,355979,354140,351817,348656,344368,338754,331362,321570,309340,293702,275074,252776,227391,198855,168956,139127,110994,85910,64938,48302,35381,25783,18897,13916,10335,7742,5927,4598,3660,2906,2350,1940,1671,1430,1253,1102,993,898,826,746
susceptible{4},360980,360973,360967,360956,360949,360938,360922,360905,360877,360834,360790,360722,360630,360482,360311,360082,359750,359306,358727,357890,356807,355274,353305,350585,347022,342146,335832,327617,316887,303615,286609,265953,241859,214992,185224,155294,126000,99124,75936,57014,41843,30520,22306,16366,12171,9073,7025,5370,4181,3328,2673,2219,1868,1593,1375,1204,1062,944,868,807
susceptible{5},360980,360973,360967,360959,360941,360918,360893,360835,360772,360671,360561,360391,360154,359838,359411,358824,358054,357046,355595,353681,351148,347730,343258,337390,329566,319677,306882,290711,271151,247729,221171,191886,161871,132092,104385,80489,60936,44999,33151,24074,17606,13004,9738,7390,5680,4424,3496,2832,2296,1909,1625,1377,1220,1071,953,845,749,679,615,565
susceptible{6},360980,360976,360969,360957,360944,360936,360923,360900,360863,360792,360727,360636,360492,360303,360069,359737,359349,358747,357957,356991,355600,353744,351308,347991,343499,337556,329745,319686,306762,290481,270881,247163,220417,191534,161416,131749,104316,80259,60439,44668,32776,23971,17465,12922,9581,7283,5572,4365,3421,2745,2230,1858,1572,1336,1153,1014,899,817,726,654
susceptible{7},360980,360976,360969,360968,360953,360938,360929,360916,360885,360848,360789,360696,360584,360427,360219,359936,359606,359148,358522,357658,356511,355007,352958,350096,346390,341565,334910,326415,315479,301548,284088,262878,237991,210275,180615,150453,121434,94741,72299,53895,39560,28839,20984,15435,11253,8388,6407,4905,3853,3090,2485,2021,1699,1432,1238,1070,942,857,788,721
susceptible{8},360980,360976,360967,360958,360941,360921,360902,360859,360812,360743,360683,360579,360438,360235,359972,359638,359171,358570,357773,356698,355118,353201,350467,346926,342205,335772,327402,316431,302828,286146,265705,241398,214096,184681,154717,125598,98896,75853,56813,41891,30652,22406,16268,12023,9049,6913,5288,4126,3330,2708,2224,1894,1621,1375,1196,1061,947,854,781,710
