FrameworkVersion,"1.0.176.23","clorton (CMS/Main/framework)"
sampletimes,0,1.00274725274725,2.00549450549451,3.00824175824176,4.01098901098901,5.01373626373626,6.01648351648352,7.01923076923077,8.02197802197802,9.02472527472528,10.0274725274725,11.0302197802198,12.032967032967,13.0357142857143,14.0384615384615,15.0412087912088,16.043956043956,17.0467032967033,18.0494505494506,19.0521978021978,20.0549450549451,21.0576923076923,22.0604395604396,23.0631868131868,24.0659340659341,25.0686813186813,26.0714285714286,27.0741758241758,28.0769230769231,29.0796703296703,30.0824175824176,31.0851648351648,32.0879120879121,33.0906593406593,34.0934065934066,35.0961538461538,36.0989010989011,37.1016483516484,38.1043956043956,39.1071428571429,40.1098901098901,41.1126373626374,42.1153846153846,43.1181318681319,44.1208791208791,45.1236263736264,46.1263736263736,47.1291208791209,48.1318681318681,49.1346153846154,50.1373626373626,51.1401098901099,52.1428571428571,53.1456043956044,54.1483516483517,55.1510989010989,56.1538461538462,57.1565934065934,58.1593406593407,59.1620879120879,60.1648351648352,61.1675824175824,62.1703296703297,63.1730769230769,64.1758241758242,65.1785714285714,66.1813186813187,67.1840659340659,68.1868131868132,69.1895604395604,70.1923076923077,71.1950549450549,72.1978021978022,73.2005494505494,74.2032967032967,75.206043956044,76.2087912087912,77.2115384615385,78.2142857142857,79.217032967033,80.2197802197802,81.2225274725275,82.2252747252747,83.228021978022,84.2307692307692,85.2335164835165,86.2362637362637,87.239010989011,88.2417582417582,89.2445054945055,90.2472527472527,91.25,92.2527472527473,93.2554945054945,94.2582417582418,95.260989010989,96.2637362637363,97.2664835164835,98.2692307692308,99.271978021978,100.274725274725,101.277472527473,102.28021978022,103.282967032967,104.285714285714,105.288461538462,106.291208791209,107.293956043956,108.296703296703,109.299450549451,110.302197802198,111.304945054945,112.307692307692,113.31043956044,114.313186813187,115.315934065934,116.318681318681,117.321428571429,118.324175824176,119.326923076923,120.32967032967,121.332417582418,122.335164835165,123.337912087912,124.340659340659,125.343406593407,126.346153846154,127.348901098901,128.351648351648,129.354395604396,130.357142857143,131.35989010989,132.362637362637,133.365384615385,134.368131868132,135.370879120879,136.373626373626,137.376373626374,138.379120879121,139.381868131868,140.384615384615,141.387362637363,142.39010989011,143.392857142857,144.395604395604,145.398351648352,146.401098901099,147.403846153846,148.406593406593,149.409340659341,150.412087912088,151.414835164835,152.417582417582,153.42032967033,154.423076923077,155.425824175824,156.428571428571,157.431318681319,158.434065934066,159.436813186813,160.43956043956,161.442307692308,162.445054945055,163.447802197802,164.450549450549,165.453296703297,166.456043956044,167.458791208791,168.461538461538,169.464285714286,170.467032967033,171.46978021978,172.472527472527,173.475274725275,174.478021978022,175.480769230769,176.483516483517,177.486263736264,178.489010989011,179.491758241758,180.494505494505,181.497252747253,182.5,183.502747252747,184.505494505495,185.508241758242,186.510989010989,187.513736263736,188.516483516484,189.519230769231,190.521978021978,191.524725274725,192.527472527473,193.53021978022,194.532967032967,195.535714285714,196.538461538462,197.541208791209,198.543956043956,199.546703296703,200.549450549451,201.552197802198,202.554945054945,203.557692307692,204.56043956044,205.563186813187,206.565934065934,207.568681318681,208.571428571429,209.574175824176,210.576923076923,211.57967032967,212.582417582418,213.585164835165,214.587912087912,215.590659340659,216.593406593407,217.596153846154,218.598901098901,219.601648351648,220.604395604396,221.607142857143,222.60989010989,223.612637362637,224.615384615385,225.618131868132,226.620879120879,227.623626373626,228.626373626374,229.629120879121,230.631868131868,231.634615384615,232.637362637363,233.64010989011,234.642857142857,235.645604395604,236.648351648352,237.651098901099,238.653846153846,239.656593406593,240.659340659341,241.662087912088,242.664835164835,243.667582417582,244.67032967033,245.673076923077,246.675824175824,247.678571428571,248.681318681319,249.684065934066,250.686813186813,251.68956043956,252.692307692308,253.695054945055,254.697802197802,255.700549450549,256.703296703297,257.706043956044,258.708791208791,259.711538461538,260.714285714286,261.717032967033,262.71978021978,263.722527472527,264.725274725275,265.728021978022,266.730769230769,267.733516483517,268.736263736264,269.739010989011,270.741758241758,271.744505494506,272.747252747253,273.75,274.752747252747,275.755494505494,276.758241758242,277.760989010989,278.763736263736,279.766483516484,280.769230769231,281.771978021978,282.774725274725,283.777472527473,284.78021978022,285.782967032967,286.785714285714,287.788461538462,288.791208791209,289.793956043956,290.796703296703,291.799450549451,292.802197802198,293.804945054945,294.807692307692,295.81043956044,296.813186813187,297.815934065934,298.818681318681,299.821428571429,300.824175824176,301.826923076923,302.82967032967,303.832417582418,304.835164835165,305.837912087912,306.840659340659,307.843406593407,308.846153846154,309.848901098901,310.851648351648,311.854395604396,312.857142857143,313.85989010989,314.862637362637,315.865384615385,316.868131868132,317.870879120879,318.873626373626,319.876373626374,320.879120879121,321.881868131868,322.884615384615,323.887362637363,324.89010989011,325.892857142857,326.895604395604,327.898351648352,328.901098901099,329.903846153846,330.906593406593,331.909340659341,332.912087912088,333.914835164835,334.917582417582,335.92032967033,336.923076923077,337.925824175824,338.928571428571,339.931318681319,340.934065934066,341.936813186813,342.93956043956,343.942307692308,344.945054945055,345.947802197802,346.950549450549,347.953296703297,348.956043956044,349.958791208791,350.961538461538,351.964285714286,352.967032967033,353.96978021978,354.972527472527,355.975274725275,356.978021978022,357.980769230769,358.983516483517,359.986263736264,360.989010989011,361.991758241758,362.994505494506,363.997252747253,365
susceptible{0},990,985,984,982,976,971,962,954,942,941,930,925,903,894,864,855,826,826,807,785,750,718,718,692,652,611,611,553,493,493,430,430,365,306,306,256,256,218,218,169,169,149,149,140,120,109,109,99,102,102,97,97,93,93,93,89,90,90,85,96,96,101,105,108,113,119,123,131,130,131,130,138,138,144,152,155,159,172,177,180,182,183,183,192,201,205,212,218,222,229,232,239,242,241,248,251,254,263,264,267,267,270,278,285,285,290,297,299,304,310,313,318,322,328,336,334,337,346,346,348,354,360,367,371,373,380,381,385,390,391,394,397,400,400,405,410,411,413,421,424,425,428,433,435,444,442,442,444,444,444,448,447,449,450,452,450,446,441,441,436,438,435,436,436,430,430,422,425,426,422,416,416,408,408,404,395,395,390,391,391,385,385,375,361,361,355,355,345,335,335,328,320,320,316,311,313,307,307,297,297,285,285,275,270,260,255,255,251,246,246,242,243,243,240,236,236,233,231,226,226,222,226,223,226,225,225,227,230,230,238,241,241,241,240,235,245,245,252,257,262,263,274,274,275,278,283,293,292,295,298,303,303,308,318,320,324,327,328,335,339,344,345,346,355,354,354,352,358,362,362,363,372,377,379,381,387,391,391,395,398,405,413,413,416,416,422,426,426,427,432,433,439,442,442,439,444,445,443,439,435,434,430,433,434,429,430,428,428,427,427,427,427,415,415,415,420,419,414,416,416,410,404,408,401,401,397,392,392,387,387,382,379,370,370,366,353,346,332,332,317,308,308,298,291,291,281,276,267,262,253,253,246,246,235,236,236,234,231,231,233,230,230,232,233,233
exposed{0},0,5,6,7,10,13,21,25,34,31,33,35,44,45,66,67,74,74,72,75,92,106,106,104,113,119,119,142,160,160,174,174,188,195,195,172,172,155,155,149,149,121,121,103,97,92,92,67,53,53,58,52,51,39,39,39,38,38,41,31,31,28,25,21,16,12,12,15,14,16,18,16,16,18,15,15,14,10,10,9,6,11,11,10,9,9,8,4,4,4,2,2,3,5,4,4,5,3,4,7,7,3,3,5,7,4,3,3,2,3,2,2,2,2,4,6,7,6,6,6,6,5,5,5,3,2,5,5,4,4,4,5,6,8,7,6,3,4,3,5,5,6,6,6,6,8,10,10,10,11,9,11,12,16,16,19,16,18,18,23,20,20,18,18,18,18,25,24,26,29,33,33,34,34,36,41,41,48,35,35,33,33,34,41,41,40,40,41,47,47,52,39,39,37,41,36,40,40,49,49,54,54,52,43,46,43,43,37,42,42,40,38,38,32,29,26,27,19,24,24,30,30,30,25,29,29,33,29,29,23,17,17,17,15,21,23,23,15,14,13,12,12,12,15,16,12,8,9,8,8,10,10,12,10,13,10,7,9,8,10,8,10,11,5,7,7,10,7,7,7,10,10,9,8,9,5,4,9,9,9,9,8,9,9,9,10,8,8,7,5,9,7,9,10,13,10,10,14,15,19,18,25,17,21,25,29,28,28,26,24,22,22,26,24,24,22,24,32,21,21,25,30,29,33,33,36,36,36,36,24,26,29,33,33,34,41,46,50,50,57,56,56,58,51,51,50,43,42,42,46,46,54,54,53,37,37,33,38,38,28,29,29,32,26,26
infectious{0},10,8,7,8,11,10,9,12,13,17,22,22,34,40,46,47,53,53,67,73,81,76,76,90,102,119,119,136,148,148,165,165,175,175,175,216,216,212,212,224,224,223,223,201,182,160,160,168,160,160,136,114,104,109,109,102,86,86,77,71,71,63,57,55,49,47,39,32,34,29,28,26,26,24,24,16,11,11,10,13,16,13,13,13,13,12,12,11,11,12,11,10,10,10,10,9,6,8,9,6,6,8,10,9,8,10,11,13,13,11,10,11,9,9,7,5,5,6,6,6,6,7,8,7,8,9,9,7,5,6,5,5,5,4,5,6,7,5,5,5,5,5,5,6,7,7,8,10,10,10,12,14,15,12,14,16,22,21,21,20,20,25,26,26,29,29,29,29,30,30,31,31,34,34,36,37,37,33,43,43,39,39,46,44,44,43,43,43,44,44,39,54,54,59,57,56,54,54,54,54,55,55,67,72,73,60,60,61,57,57,55,56,56,59,61,58,59,62,60,60,52,46,45,44,34,34,27,27,27,28,32,31,31,33,29,24,24,24,25,22,24,21,21,20,18,19,20,21,21,16,14,14,13,12,10,14,13,11,11,11,14,15,12,14,14,14,11,10,8,8,8,7,7,8,8,11,8,8,8,9,7,10,12,10,10,10,12,12,15,16,13,15,15,12,13,15,18,18,22,23,25,21,27,27,25,21,28,28,31,33,33,33,36,34,34,35,28,27,36,36,33,32,28,29,29,26,27,27,31,36,39,40,42,42,47,50,52,60,60,57,61,61,55,67,67,64,71,69,62,59,59,50,50,55,51,51,52,46,46,46,45,45,36,45,45
recovered{0},0,2,3,3,3,6,8,9,11,11,15,18,19,21,24,31,47,47,54,67,77,100,100,114,133,151,151,169,199,199,231,231,272,324,324,356,356,415,415,458,458,507,507,556,601,639,639,666,685,685,709,737,752,759,759,770,786,786,797,802,802,808,813,816,822,822,826,822,822,824,824,820,820,814,809,814,816,807,803,798,796,793,793,785,777,774,768,767,763,755,755,749,745,744,738,736,735,726,723,720,720,719,709,701,700,696,689,685,681,676,675,669,667,661,653,655,651,642,642,640,634,628,620,617,616,609,605,603,601,599,597,593,589,588,583,578,579,578,571,566,565,561,556,553,543,543,540,536,536,535,531,528,524,522,518,515,516,520,520,521,522,520,520,520,523,523,524,522,518,519,520,520,524,524,524,527,527,529,531,531,543,543,545,554,554,562,562,571,574,574,581,587,587,588,591,595,599,599,600,600,606,606,606,615,621,642,642,651,655,655,663,663,663,669,674,680,681,688,690,690,696,698,702,705,712,712,713,714,714,711,710,711,711,712,715,708,708,709,704,703,701,693,693,690,688,686,679,678,676,678,673,673,667,660,657,652,653,652,646,640,634,630,631,626,625,625,627,625,623,623,619,611,607,605,602,597,597,592,588,584,579,569,566,565,565,558,554,554,551,547,545,539,534,536,535,531,527,525,524,523,523,524,523,518,521,520,516,516,516,516,518,518,523,527,527,523,529,527,527,527,532,534,535,537,537,541,545,545,546,553,553,552,555,555,553,556,556,558,558,569,575,575,589,591,591,605,610,622,634,642,642,650,650,657,676,676,681,685,685,693,696,696,700,696,696
